transaction_id,date,vendor,category,amount,description
TXN-1000,2026-01-05,Vercel,SaaS Subscriptions,-250,Vercel monthly subscription - January 2026
TXN-1001,2026-01-05,Neon (Postgres),SaaS Subscriptions,-180,Neon (Postgres) monthly subscription - January 2026
TXN-1002,2026-01-05,Notion,SaaS Subscriptions,-320,Notion monthly subscription - January 2026
TXN-1003,2026-01-05,Slack,SaaS Subscriptions,-210,Slack monthly subscription - January 2026
TXN-1004,2026-01-05,Figma,SaaS Subscriptions,-150,Figma monthly subscription - January 2026
TXN-1005,2026-01-05,Datadog,SaaS Subscriptions,-480,Datadog monthly subscription - January 2026
TXN-1006,2026-01-01,Gusto Payroll,Payroll,-44557.71,Payroll - January 2026
TXN-1007,2026-01-08,Toptal / Upwork Contractors,Contractors,-7707.75,Contractors - January 2026
TXN-1008,2026-01-08,WeWork - Market St,Rent,-5200,Rent - January 2026
TXN-1009,2026-01-04,Google Ads,Marketing,-2767.46,Marketing - January 2026
TXN-1010,2026-01-18,Cooley LLP,Legal & Professional Services,-2842.14,Legal & Professional Services - January 2026
TXN-1011,2026-01-14,Amazon Web Services,Cloud Infra (AWS),-6434.69,Cloud Infra (AWS) - January 2026
TXN-1012,2026-01-03,"Various (Delta, Marriott, Uber)",Travel,-392.17,Travel - January 2026
TXN-1013,2026-01-17,Amazon Business,Office Supplies,-313.98,Office Supplies - January 2026
TXN-1014,2026-01-01,Customer Subscription Revenue,Revenue,58965,SaaS subscription revenue - January 2026
TXN-1015,2026-02-05,Vercel,SaaS Subscriptions,-250,Vercel monthly subscription - February 2026
TXN-1016,2026-02-05,Neon (Postgres),SaaS Subscriptions,-180,Neon (Postgres) monthly subscription - February 2026
TXN-1017,2026-02-05,Notion,SaaS Subscriptions,-320,Notion monthly subscription - February 2026
TXN-1018,2026-02-05,Slack,SaaS Subscriptions,-210,Slack monthly subscription - February 2026
TXN-1019,2026-02-05,Figma,SaaS Subscriptions,-150,Figma monthly subscription - February 2026
TXN-1020,2026-02-05,Datadog,SaaS Subscriptions,-480,Datadog monthly subscription - February 2026
TXN-1021,2026-02-07,Gusto Payroll,Payroll,-42106.14,Payroll - February 2026
TXN-1022,2026-02-23,Toptal / Upwork Contractors,Contractors,-7580.1,Contractors - February 2026
TXN-1023,2026-02-18,WeWork - Market St,Rent,-5200,Rent - February 2026
TXN-1024,2026-02-15,Google Ads,Marketing,-4307.36,Marketing - February 2026
TXN-1025,2026-02-26,Cooley LLP,Legal & Professional Services,-2474.92,Legal & Professional Services - February 2026
TXN-1026,2026-02-25,Amazon Web Services,Cloud Infra (AWS),-10346.5,Cloud Infra (AWS) - February 2026
TXN-1027,2026-02-23,"Various (Delta, Marriott, Uber)",Travel,-2636.88,Travel - February 2026
TXN-1028,2026-02-09,Amazon Business,Office Supplies,-466.96,Office Supplies - February 2026
TXN-1029,2026-02-01,Customer Subscription Revenue,Revenue,63636,SaaS subscription revenue - February 2026
TXN-1030,2026-03-05,Vercel,SaaS Subscriptions,-250,Vercel monthly subscription - March 2026
